113	20	0.5
15	107	0.507
15	111	0.438
15	105	0.382
15	104	0.439
15	82	0.504
15	78	0.569
15	35	0.5
15	4	0.441
15	84	0.471
15	36	0.449
15	70	0.409
15	1	0.431
15	2	0.443
15	101	0.501
15	37	0.373
15	12	0.417
15	18	0.42
15	83	0.53
15	77	0.527
15	41	0.472
15	8	0.468
45	107	0.529
15	112	0.473
15	71	0.501
45	111	0.556
15	93	0.481
45	104	0.346
15	95	0.483
45	105	0.49
15	58	0.579
45	112	0.45
15	66	0.571
45	71	0.509
15	57	0.458
45	84	0.507
15	67	0.453
45	4	0.431
15	56	0.46
45	35	0.494
15	94	0.455
45	82	0.316
15	6	0.543
45	12	0.358
15	11	0.53
45	37	0.439
15	80	0.502
45	70	0.492
15	22	0.509
104	111	0.404
45	94	0.402
104	107	0.544
15	21	0.438
45	6	0.601
104	105	0.54
15	90	0.428
45	19	0.387
2	111	0.476
15	27	0.48
104	103	0.522
2	107	0.437
45	78	0.51
104	97	0.406
15	91	0.506
45	93	0.498
2	105	0.561
15	25	0.413
104	89	0.522
45	77	0.555
2	104	0.36
104	86	0.424
15	85	0.477
2	112	0.39
45	97	0.469
15	43	0.502
104	84	0.454
45	28	0.458
2	71	0.448
104	82	0.447
15	69	0.511
2	82	0.534
45	96	0.529
15	76	0.517
104	77	0.489
45	13	0.438
2	78	0.522
15	97	0.405
104	76	0.485
2	29	0.46
45	25	0.395
104	70	0.364
15	17	0.488
45	91	0.457
2	30	0.469
15	109	0.523
104	69	0.448
2	1	0.426
45	83	0.55
104	66	0.598
15	38	0.509
2	35	0.533
45	65	0.536
15	40	0.478
104	110	0.434
45	34	0.478
2	101	0.449
15	106	0.486
104	60	0.442
2	77	0.555
45	55	0.454
104	58	0.425
15	31	0.469
45	2	0.46
2	19	0.445
15	61	0.424
104	56	0.361
2	65	0.529
45	101	0.494
104	54	0.385
15	7	0.466
45	89	0.488
2	84	0.439
15	59	0.46
104	48	0.473
2	66	0.528
45	58	0.555
15	88	0.491
104	46	0.385
45	22	0.599
2	67	0.435
104	43	0.396
15	49	0.458
2	57	0.436
45	21	0.458
15	32	0.558
104	36	0.419
2	37	0.422
45	74	0.523
104	35	0.508
15	68	0.497
45	23	0.467
2	28	0.424
15	62	0.465
104	90	0.356
2	18	0.419
45	36	0.589
104	27	0.357
15	89	0.498
2	56	0.501
45	14	0.497
15	3	0.441
104	92	0.51
45	33	0.551
2	69	0.519
104	79	0.493
15	50	0.46
2	93	0.48
45	87	0.442
104	26	0.382
15	10	0.486
45	10	0.43
2	36	0.449
15	99	0.38
104	19	0.424
2	4	0.385
45	99	0.444
104	18	0.437
15	96	0.495
45	90	0.472
2	43	0.43
13	111	0.525
15	13	0.465
104	109	0.545
101	111	0.473
45	27	0.516
104	38	0.465
15	47	0.471
13	107	0.519
2	94	0.472
101	107	0.575
2	6	0.536
45	1	0.427
15	65	0.497
104	40	0.439
13	105	0.49
101	105	0.564
39	111	0.448
13	104	0.413
104	17	0.394
2	27	0.441
15	16	0.435
45	69	0.483
39	107	0.499
101	84	0.491
45	100	0.536
13	4	0.402
104	95	0.448
15	5	0.433
2	90	0.465
101	12	0.448
39	105	0.522
2	12	0.418
13	96	0.455
104	15	0.439
15	33	0.562
45	39	0.435
39	104	0.39
101	112	0.497
25	111	0.477
45	98	0.468
104	12	0.44
2	50	0.485
13	37	0.402
15	14	0.468
25	105	0.503
26	107	0.516
39	84	0.445
101	71	0.493
13	82	0.509
45	75	0.432
104	80	0.495
2	3	0.42
101	104	0.437
39	82	0.534
15	87	0.448
25	107	0.548
26	111	0.452
2	70	0.448
104	11	0.459
45	9	0.547
13	101	0.443
39	4	0.499
25	37	0.414
26	105	0.464
15	34	0.526
101	82	0.548
2	58	0.478
104	41	0.432
13	2	0.436
45	44	0.424
101	19	0.506
26	104	0.382
15	45	0.509
39	12	0.415
25	104	0.426
45	102	0.569
104	8	0.472
2	20	0.5
13	93	0.487
39	78	0.54
26	36	0.444
101	37	0.46
25	82	0.54
15	55	0.448
13	112	0.406
45	64	0.599
2	73	0.527
104	61	0.423
15	26	0.395
39	37	0.443
26	2	0.429
101	1	0.469
25	94	0.48
2	95	0.517
104	7	0.418
13	71	0.499
45	72	0.485
25	6	0.528
15	92	0.546
39	28	0.477
26	101	0.439
101	36	0.535
45	16	0.492
13	77	0.594
2	15	0.443
104	4	0.396
101	78	0.582
25	36	0.455
26	4	0.456
39	35	0.546
15	79	0.522
104	1	0.389
2	76	0.445
13	83	0.514
45	5	0.535
15	19	0.437
101	83	0.546
39	36	0.451
26	77	0.512
25	101	0.452
13	57	0.465
2	89	0.502
45	106	0.435
104	50	0.412
26	37	0.437
101	35	0.567
39	57	0.445
15	73	0.489
25	2	0.446
104	3	0.447
13	67	0.502
45	31	0.561
2	97	0.35
25	4	0.453
101	94	0.477
26	84	0.424
15	20	0.495
39	67	0.492
2	25	0.446
104	62	0.466
13	100	0.446
45	47	0.549
39	19	0.458
15	110	0.478
26	82	0.514
101	6	0.537
25	112	0.45
45	73	0.602
13	39	0.451
2	91	0.524
104	68	0.448
101	2	0.449
39	94	0.444
26	94	0.446
15	60	0.415
25	71	0.503
104	32	0.508
2	85	0.446
45	20	0.57
13	18	0.46
38	82	0.651
25	99	0.387
101	70	0.454
15	86	0.481
26	6	0.518
39	6	0.582
38	111	0.558
104	42	0.473
45	85	0.532
13	29	0.45
2	83	0.482
25	10	0.49
46	107	0.558
112	107	0.473
101	66	0.677
45	32	0.571
13	30	0.485
38	107	0.6
39	100	0.491
2	59	0.436
26	35	0.536
15	46	0.466
25	77	0.564
104	63	0.493
101	77	0.571
112	111	0.363
46	111	0.522
13	84	0.454
46	105	0.593
38	37	0.498
39	101	0.472
2	88	0.488
104	28	0.409
15	54	0.387
26	93	0.453
45	68	0.541
101	30	0.46
25	46	0.486
112	82	0.503
13	78	0.543
46	104	0.385
112	69	0.515
101	29	0.469
2	49	0.445
15	100	0.487
26	70	0.461
104	81	0.356
25	91	0.548
38	4	0.516
39	2	0.452
45	62	0.46
13	12	0.396
46	82	0.58
13	35	0.435
112	77	0.504
104	51	0.414
39	93	0.462
26	30	0.443
15	39	0.488
45	43	0.495
2	64	0.454
38	104	0.465
25	83	0.499
101	28	0.478
46	37	0.37
101	76	0.42
104	100	0.441
112	78	0.373
13	70	0.46
2	72	0.416
26	29	0.451
25	43	0.432
45	92	0.501
39	77	0.51
15	75	0.428
38	101	0.498
46	43	0.437
25	18	0.468
104	39	0.39
101	50	0.491
112	84	0.436
2	80	0.524
13	22	0.512
45	26	0.415
15	98	0.421
38	2	0.555
26	57	0.485
39	112	0.443
1	111	0.48
46	84	0.526
41	12	0.451
1	70	0.417
25	58	0.501
112	48	0.501
13	21	0.402
2	11	0.503
101	3	0.469
104	98	0.433
10	111	0.465
45	79	0.539
41	107	0.546
46	94	0.432
39	71	0.496
26	67	0.498
38	84	0.49
15	53	0.489
49	107	0.582
1	105	0.589
45	48	0.475
49	111	0.479
32	89	0.6
1	12	0.531
17	111	0.506
38	43	0.552
45	15	0.509
26	18	0.442
15	52	0.545
41	105	0.514
15	64	0.47
25	19	0.457
2	99	0.404
104	75	0.389
10	37	0.459
39	96	0.45
1	107	0.517
32	111	0.586
49	105	0.485
13	19	0.437
112	83	0.506
101	58	0.595
45	95	0.489
41	111	0.524
2	10	0.534
17	107	0.54
